Epoch,Batch,Filename,Augmentation,True Labels,Predicted Labels,Probabilities
1,1,1692_295_box_4.png,none,"0.0,0.0,1.0,0.0","1,0,0,0","Good_layer:0.5794,Ditch:0.4227,Crater:0.3882,Waves:0.4259"
1,1,1630_273_box_3.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.2727,Ditch:0.2244,Crater:0.3100,Waves:0.4143"
1,1,1564_211_box_3.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4632,Ditch:0.3518,Crater:0.4999,Waves:0.4326"
1,1,1674_254_box_4.png,none,"1.0,0.0,0.0,0.0","1,1,1,1","Good_layer:0.6212,Ditch:0.5660,Crater:0.5066,Waves:0.5138"
1,1,1927_09_box_4.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4262,Ditch:0.4139,Crater:0.3368,Waves:0.4554"
1,1,2025_314_box_6.png,none,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.3965,Ditch:0.3423,Crater:0.4261,Waves:0.3372"
1,1,1379_232_box_5.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4836,Ditch:0.2722,Crater:0.3921,Waves:0.3996"
1,1,777_17_box_7.png,none,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.3249,Ditch:0.4079,Crater:0.3994,Waves:0.3532"
1,1,2014_101_box_2.png,none,"0.0,1.0,1.0,0.0","0,1,1,0","Good_layer:0.2451,Ditch:0.6155,Crater:0.5853,Waves:0.2516"
1,1,377_33_box_6.png,flip_x,"0.0,0.0,0.0,1.0","1,1,0,1","Good_layer:0.5491,Ditch:0.5576,Crater:0.4104,Waves:0.5139"
1,1,2012_223_box_4.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.3984,Ditch:0.4751,Crater:0.4223,Waves:0.2875"
1,1,555_59_box_2.png,none,"0.0,0.0,1.0,0.0","0,1,0,0","Good_layer:0.4547,Ditch:0.5425,Crater:0.3902,Waves:0.3300"
1,1,1914_91_box_5.png,none,"0.0,0.0,1.0,0.0","0,0,0,1","Good_layer:0.2241,Ditch:0.2163,Crater:0.4252,Waves:0.7171"
1,1,1505_81_box_0.png,none,"0.0,0.0,1.0,0.0","0,0,0,1","Good_layer:0.4743,Ditch:0.4880,Crater:0.4676,Waves:0.5268"
1,1,1428_287_box_2.png,rotate180,"0.0,0.0,1.0,0.0","0,0,1,1","Good_layer:0.3690,Ditch:0.4822,Crater:0.5306,Waves:0.5072"
1,1,1184_142_box_7.png,none,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.3788,Ditch:0.2785,Crater:0.4938,Waves:0.3019"
1,1,2322_29_box_6.png,flip_y,"0.0,0.0,0.0,1.0","0,0,0,0","Good_layer:0.4577,Ditch:0.4006,Crater:0.3980,Waves:0.4244"
1,1,2074_46_box_3.png,none,"0.0,0.0,0.0,1.0","1,0,0,1","Good_layer:0.5230,Ditch:0.4768,Crater:0.3918,Waves:0.5458"
1,1,228_41_box_1.png,flip_y,"0.0,0.0,0.0,1.0","0,0,0,1","Good_layer:0.4136,Ditch:0.3583,Crater:0.4311,Waves:0.6259"
1,1,1032_41_box_6.png,flip_x,"0.0,0.0,0.0,1.0","1,0,0,1","Good_layer:0.5834,Ditch:0.4592,Crater:0.3635,Waves:0.5494"
1,1,1471_142_box_4.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4870,Ditch:0.3822,Crater:0.4449,Waves:0.3231"
1,1,2429_93_box_1.png,none,"0.0,0.0,1.0,0.0","0,1,1,0","Good_layer:0.2654,Ditch:0.5683,Crater:0.5809,Waves:0.1455"
1,1,48_310_box_3.png,rotate180,"0.0,0.0,1.0,0.0","0,1,0,1","Good_layer:0.4758,Ditch:0.5295,Crater:0.3766,Waves:0.6878"
1,1,1665_40_box_6.png,none,"0.0,0.0,0.0,1.0","1,0,0,1","Good_layer:0.5306,Ditch:0.4572,Crater:0.4608,Waves:0.5635"
1,1,1777_330_box_7.png,rotate180,"0.0,1.0,1.0,0.0","0,0,1,1","Good_layer:0.1358,Ditch:0.2576,Crater:0.5038,Waves:0.5350"
1,1,1517_73_box_1.png,none,"0.0,0.0,1.0,0.0","1,0,0,1","Good_layer:0.5580,Ditch:0.4719,Crater:0.4062,Waves:0.5153"
1,1,449_169_box_2.png,none,"1.0,0.0,0.0,0.0","0,0,0,1","Good_layer:0.4053,Ditch:0.4610,Crater:0.4179,Waves:0.6564"
1,1,1132_254_box_2.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4344,Ditch:0.4642,Crater:0.3990,Waves:0.3146"
1,1,375_169_box_6.png,none,"1.0,0.0,0.0,0.0","0,1,0,1","Good_layer:0.4765,Ditch:0.5106,Crater:0.4489,Waves:0.5156"
1,1,1859_187_box_3.png,rotate180,"0.0,1.0,0.0,0.0","0,0,0,0","Good_layer:0.4557,Ditch:0.4001,Crater:0.3785,Waves:0.3982"
1,1,1895_21_box_2.png,none,"0.0,1.0,0.0,0.0","0,0,0,0","Good_layer:0.4696,Ditch:0.4237,Crater:0.3614,Waves:0.3829"
1,1,667_225_box_5.png,combo,"0.0,1.0,0.0,0.0","1,0,0,0","Good_layer:0.5000,Ditch:0.3476,Crater:0.4715,Waves:0.3578"
1,2,1986_24_box_1.png,none,"0.0,1.0,0.0,0.0","0,0,0,0","Good_layer:0.4370,Ditch:0.4381,Crater:0.3698,Waves:0.4906"
