Epoch,Batch,Filename,Augmentation,True Labels,Predicted Labels,Probabilities
1,1,1356_40_box_5.png,combo,"0.0,0.0,0.0,1.0","1,1,1,0","Good_layer:0.5793,Ditch:0.5500,Crater:0.5131,Waves:0.4155"
1,1,64_322_box_1.png,none,"0.0,0.0,1.0,0.0","1,1,0,1","Good_layer:0.5534,Ditch:0.5437,Crater:0.4888,Waves:0.5175"
1,1,1677_49_box_5.png,flip_y,"0.0,0.0,0.0,1.0","1,1,0,1","Good_layer:0.5515,Ditch:0.5685,Crater:0.3510,Waves:0.5030"
1,1,617_41_box_2.png,flip_y,"0.0,0.0,0.0,1.0","0,1,1,0","Good_layer:0.4706,Ditch:0.5829,Crater:0.5284,Waves:0.4647"
1,1,1907_133_box_7.png,combo,"0.0,1.0,0.0,0.0","1,0,0,0","Good_layer:0.5908,Ditch:0.4129,Crater:0.1930,Waves:0.4901"
1,1,2187_279_box_3.png,none,"1.0,0.0,0.0,0.0","0,1,0,1","Good_layer:0.4581,Ditch:0.6513,Crater:0.3621,Waves:0.6049"
1,1,35_111_box_2.png,none,"0.0,1.0,1.0,0.0","1,0,1,0","Good_layer:0.5090,Ditch:0.4140,Crater:0.5057,Waves:0.3569"
1,1,537_283_box_4.png,none,"1.0,0.0,0.0,0.0","0,1,1,0","Good_layer:0.4845,Ditch:0.6075,Crater:0.5174,Waves:0.4280"
1,1,2307_201_box_0.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4746,Ditch:0.4849,Crater:0.4621,Waves:0.4707"
1,1,2299_317_box_2.png,none,"0.0,0.0,1.0,0.0","0,1,0,0","Good_layer:0.4723,Ditch:0.5798,Crater:0.4869,Waves:0.4817"
1,1,1166_40_box_3.png,rotate180,"0.0,0.0,0.0,1.0","0,1,0,0","Good_layer:0.4766,Ditch:0.5681,Crater:0.4174,Waves:0.4841"
1,1,1960_179_box_1.png,none,"0.0,0.0,1.0,0.0","0,1,0,1","Good_layer:0.3285,Ditch:0.6994,Crater:0.3566,Waves:0.8715"
1,1,2568_27_box_3.png,combo,"0.0,1.0,0.0,1.0","1,1,0,0","Good_layer:0.5206,Ditch:0.5705,Crater:0.4446,Waves:0.4383"
1,1,42_38_box_5.png,rotate180,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.5348,Ditch:0.5706,Crater:0.4444,Waves:0.4631"
1,1,2189_315_box_4.png,none,"0.0,0.0,1.0,0.0","0,1,0,0","Good_layer:0.4798,Ditch:0.5597,Crater:0.4493,Waves:0.4749"
1,1,2395_46_box_1.png,combo,"0.0,0.0,0.0,1.0","0,1,0,0","Good_layer:0.4963,Ditch:0.6018,Crater:0.4449,Waves:0.4694"
1,1,348_98_box_1.png,flip_y,"0.0,1.0,0.0,0.0","1,1,0,1","Good_layer:0.5778,Ditch:0.6735,Crater:0.4404,Waves:0.5603"
1,1,38_48_box_6.png,rotate180,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.6396,Ditch:0.5198,Crater:0.4672,Waves:0.4050"
1,1,2156_39_box_6.png,rotate180,"0.0,0.0,0.0,1.0","1,1,1,1","Good_layer:0.5860,Ditch:0.5651,Crater:0.5075,Waves:0.5762"
1,1,1939_101_box_0.png,combo,"0.0,1.0,1.0,0.0","1,0,1,0","Good_layer:0.6072,Ditch:0.4758,Crater:0.6021,Waves:0.3965"
1,1,326_288_box_5.png,none,"0.0,0.0,1.0,0.0","0,1,1,0","Good_layer:0.4632,Ditch:0.5180,Crater:0.5277,Waves:0.4814"
1,1,1428_287_box_2.png,flip_y,"0.0,0.0,1.0,0.0","1,1,0,1","Good_layer:0.5295,Ditch:0.5916,Crater:0.4283,Waves:0.5439"
1,1,229_33_box_0.png,flip_y,"0.0,0.0,0.0,1.0","0,1,0,1","Good_layer:0.4467,Ditch:0.5004,Crater:0.4300,Waves:0.5620"
1,1,620_232_box_2.png,none,"1.0,0.0,0.0,0.0","0,0,1,1","Good_layer:0.3758,Ditch:0.4171,Crater:0.5428,Waves:0.5513"
1,1,1496_40_box_1.png,flip_x,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.5986,Ditch:0.5679,Crater:0.3591,Waves:0.3868"
1,1,935_321_box_4.png,none,"0.0,0.0,1.0,0.0","1,1,0,0","Good_layer:0.5081,Ditch:0.5919,Crater:0.3850,Waves:0.4354"
1,1,2110_322_box_6.png,none,"0.0,0.0,1.0,0.0","0,1,0,0","Good_layer:0.4766,Ditch:0.5998,Crater:0.4633,Waves:0.4746"
1,1,1287_98_box_4.png,flip_y,"0.0,1.0,1.0,0.0","0,1,1,1","Good_layer:0.4654,Ditch:0.5862,Crater:0.5530,Waves:0.6328"
1,1,1677_49_box_5.png,combo,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.5311,Ditch:0.5446,Crater:0.4427,Waves:0.4356"
1,1,803_163_box_7.png,rotate180,"0.0,1.0,0.0,0.0","1,0,0,0","Good_layer:0.6585,Ditch:0.4553,Crater:0.2488,Waves:0.4469"
1,1,2156_39_box_6.png,combo,"0.0,0.0,0.0,1.0","1,1,0,0","Good_layer:0.5483,Ditch:0.5727,Crater:0.4676,Waves:0.4565"
1,1,775_162_box_6.png,combo,"0.0,1.0,0.0,0.0","0,0,1,0","Good_layer:0.4769,Ditch:0.4589,Crater:0.5194,Waves:0.4408"
1,2,1825_179_box_2.png,none,"0.0,1.0,0.0,0.0","1,0,0,0","Good_layer:0.7909,Ditch:0.3052,Crater:0.3233,Waves:0.4889"
1,2,1592_317_box_7.png,none,"0.0,0.0,1.0,0.0","1,1,0,0","Good_layer:0.5265,Ditch:0.6064,Crater:0.4591,Waves:0.4070"
1,2,24_309_box_3.png,flip_x,"0.0,0.0,1.0,0.0","0,0,1,0","Good_layer:0.4616,Ditch:0.4682,Crater:0.5584,Waves:0.4519"
1,2,1029_320_box_1.png,flip_y,"0.0,0.0,1.0,0.0","1,1,0,1","Good_layer:0.5522,Ditch:0.6163,Crater:0.4062,Waves:0.5131"
1,2,1500_211_box_2.png,none,"1.0,0.0,0.0,0.0","1,0,0,1","Good_layer:0.5117,Ditch:0.4036,Crater:0.4270,Waves:0.5169"
1,2,1200_304_box_1.png,rotate180,"0.0,0.0,1.0,0.0","1,1,1,0","Good_layer:0.5133,Ditch:0.5204,Crater:0.5538,Waves:0.4261"
1,2,685_142_box_2.png,flip_x,"0.0,1.0,0.0,0.0","0,0,0,1","Good_layer:0.3225,Ditch:0.4661,Crater:0.4853,Waves:0.6113"
1,2,2027_328_box_2.png,none,"0.0,0.0,1.0,0.0","0,1,1,1","Good_layer:0.4061,Ditch:0.5493,Crater:0.6121,Waves:0.6322"
1,2,1287_98_box_4.png,flip_x,"0.0,1.0,1.0,0.0","1,1,1,1","Good_layer:0.5605,Ditch:0.5865,Crater:0.5294,Waves:0.5140"
1,2,440_40_box_7.png,combo,"0.0,0.0,0.0,1.0","1,0,1,0","Good_layer:0.6375,Ditch:0.4677,Crater:0.5301,Waves:0.3413"
1,2,1399_27_box_2.png,flip_y,"0.0,1.0,0.0,1.0","0,0,0,1","Good_layer:0.3697,Ditch:0.4866,Crater:0.4381,Waves:0.5173"
1,2,1717_129_box_7.png,none,"0.0,0.0,1.0,0.0","0,1,0,1","Good_layer:0.4161,Ditch:0.5387,Crater:0.3652,Waves:0.5145"
1,2,264_49_box_1.png,flip_y,"0.0,0.0,0.0,1.0","1,1,1,0","Good_layer:0.6525,Ditch:0.5067,Crater:0.5221,Waves:0.4225"
1,2,1247_177_box_6.png,flip_y,"0.0,1.0,1.0,0.0","1,1,0,1","Good_layer:0.5300,Ditch:0.6254,Crater:0.4432,Waves:0.5127"
1,2,2278_209_box_7.png,none,"1.0,0.0,0.0,0.0","0,0,0,1","Good_layer:0.4734,Ditch:0.4414,Crater:0.4398,Waves:0.5178"
1,2,1443_235_box_1.png,none,"1.0,0.0,0.0,0.0","1,0,0,1","Good_layer:0.7043,Ditch:0.3518,Crater:0.3947,Waves:0.5544"
1,2,1765_46_box_6.png,rotate180,"0.0,0.0,0.0,1.0","1,0,1,0","Good_layer:0.5076,Ditch:0.4314,Crater:0.5085,Waves:0.4428"
1,2,1756_118_box_4.png,rotate180,"0.0,1.0,0.0,0.0","1,1,0,1","Good_layer:0.5518,Ditch:0.6851,Crater:0.4963,Waves:0.6571"
1,2,433_04_box_5.png,none,"1.0,0.0,0.0,0.0","0,0,1,1","Good_layer:0.4729,Ditch:0.4868,Crater:0.5136,Waves:0.5786"
1,2,953_310_box_1.png,none,"0.0,0.0,1.0,0.0","1,1,1,1","Good_layer:0.5831,Ditch:0.5899,Crater:0.5075,Waves:0.5997"
1,2,476_272_box_0.png,none,"1.0,0.0,0.0,0.0","1,1,0,0","Good_layer:0.8410,Ditch:0.5262,Crater:0.1907,Waves:0.2710"
1,2,1052_116_box_1.png,none,"0.0,0.0,1.0,0.0","0,1,0,1","Good_layer:0.4768,Ditch:0.5020,Crater:0.2920,Waves:0.6372"
1,2,2332_210_box_0.png,none,"1.0,0.0,0.0,0.0","1,1,0,1","Good_layer:0.5538,Ditch:0.5608,Crater:0.2828,Waves:0.5064"
1,2,2156_39_box_6.png,none,"0.0,0.0,0.0,1.0","1,1,1,0","Good_layer:0.5657,Ditch:0.5262,Crater:0.5646,Waves:0.4726"
1,2,1356_40_box_5.png,rotate180,"0.0,0.0,0.0,1.0","1,0,1,0","Good_layer:0.5183,Ditch:0.4969,Crater:0.5074,Waves:0.4212"
1,2,1733_35_box_2.png,rotate180,"0.0,0.0,0.0,1.0","0,1,1,0","Good_layer:0.4498,Ditch:0.5291,Crater:0.5452,Waves:0.4674"
1,2,1481_325_box_6.png,flip_x,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.4830,Ditch:0.4899,Crater:0.4946,Waves:0.4675"
1,2,325_277_box_5.png,flip_x,"0.0,1.0,0.0,0.0","0,1,0,0","Good_layer:0.4341,Ditch:0.5691,Crater:0.3587,Waves:0.4844"
1,2,2019_51_box_4.png,none,"0.0,0.0,1.0,0.0","1,1,1,0","Good_layer:0.5040,Ditch:0.5685,Crater:0.5321,Waves:0.4602"
1,2,2210_79_box_1.png,none,"0.0,0.0,1.0,0.0","1,0,0,0","Good_layer:0.5550,Ditch:0.4774,Crater:0.4739,Waves:0.4546"
1,2,1623_10_box_4.png,none,"1.0,0.0,0.0,0.0","0,0,0,0","Good_layer:0.4782,Ditch:0.4844,Crater:0.4753,Waves:0.4663"
1,2,1015_101_box_3.png,flip_y,"0.0,1.0,0.0,0.0","0,1,0,0","Good_layer:0.4649,Ditch:0.6496,Crater:0.2594,Waves:0.4769"
1,3,1803_314_box_2.png,none,"0.0,0.0,1.0,0.0","0,0,1,0","Good_layer:0.4498,Ditch:0.4421,Crater:0.5140,Waves:0.4457"
1,3,2092_293_box_3.png,none,"0.0,0.0,1.0,0.0","1,1,0,0","Good_layer:0.5696,Ditch:0.5819,Crater:0.4657,Waves:0.4684"
1,3,1954_252_box_6.png,none,"1.0,0.0,0.0,0.0","1,0,0,0","Good_layer:0.5163,Ditch:0.4899,Crater:0.3779,Waves:0.4740"
1,3,1747_168_box_5.png,none,"1.0,0.0,0.0,0.0","0,0,1,0","Good_layer:0.4232,Ditch:0.3891,Crater:0.5404,Waves:0.4743"
1,3,38_48_box_6.png,combo,"0.0,0.0,0.0,1.0","0,0,0,1","Good_layer:0.4885,Ditch:0.4778,Crater:0.4237,Waves:0.5373"
1,3,2593_168_box_6.png,flip_y,"0.0,0.0,1.0,0.0","0,0,0,0","Good_layer:0.4099,Ditch:0.4658,Crater:0.4566,Waves:0.4002"
